timestamp,ticker,strike_price,crypto_price,mins_left,yes_ask,no_ask,yes_bid,no_bid,yes_depth_1,yes_depth_3,yes_depth_all,no_depth_1,no_depth_3,no_depth_all,yes_levels,no_levels,spread
2026-03-06T14:24:07.857456+00:00,KXXRP15M-26MAR060930-30,1.3648,1.3673,5.87,80,23,77,20,17,19,87899,29,43,83628,61,18,3
2026-03-06T14:24:08.922527+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36828,5.85,82,20,80,18,17,19,91299,29,80043,80928,59,18,2
2026-03-06T14:24:20.162645+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36934,5.67,89,14,86,11,17,19,92856,29,1163,3960,60,11,3
2026-03-06T14:24:21.123746+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36923,5.65,89,14,86,11,17,19,92856,29,1163,3960,59,11,3
2026-03-06T14:24:22.126603+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36923,5.63,89,14,86,11,17,19,88851,29,1163,3746,58,11,3
2026-03-06T14:24:23.318999+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36923,5.62,89,14,86,11,17,19,92875,80029,81163,83745,58,13,3
2026-03-06T14:24:24.110988+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36923,5.6,89,14,86,11,17,19,92822,80029,81163,83466,58,13,3
2026-03-06T14:24:25.347998+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36923,5.58,89,14,86,11,17,19,92850,80029,80043,83616,59,13,3
2026-03-06T14:24:26.154633+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36923,5.57,89,14,86,11,17,19,92849,80029,80043,83780,59,13,3
2026-03-06T14:24:27.186078+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36883,5.55,89,14,86,11,17,19,92831,80029,80043,83780,61,13,3
2026-03-06T14:24:28.119489+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36883,5.53,89,14,86,11,17,19,88833,80029,80043,83479,60,12,3
2026-03-06T14:24:29.205321+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36879,5.52,86,17,83,14,17,19,88810,80029,80043,82330,61,13,3
2026-03-06T14:24:30.161645+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36879,5.5,86,17,83,14,17,19,88799,80029,80043,83579,61,13,3
2026-03-06T14:24:31.238444+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36842,5.48,86,17,83,14,17,19,92675,80029,80043,83454,61,12,3
2026-03-06T14:24:32.281487+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36842,5.47,86,17,83,14,17,19,92807,29,80043,83541,62,12,3
2026-03-06T14:24:33.224086+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36815,5.45,86,17,83,14,17,19,92677,29,80043,83477,60,12,3
2026-03-06T14:24:34.178788+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36815,5.43,86,17,83,14,17,19,92677,29,80043,83477,60,12,3
2026-03-06T14:24:43.445182+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36811,5.28,84,18,82,16,17,19,89023,29,43,83601,61,13,2
2026-03-06T14:24:46.432131+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36766,5.23,84,18,82,16,17,19,88929,29,43,83532,61,13,2
2026-03-06T14:24:47.604846+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36781,5.21,84,18,82,16,17,19,88929,29,43,83532,61,13,2
2026-03-06T14:24:48.542749+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36781,5.19,81,21,79,19,17,19,88896,29,43,83522,60,14,2
2026-03-06T14:24:49.524285+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36781,5.18,81,21,79,19,17,19,88896,29,43,83522,60,14,2
2026-03-06T14:24:50.505286+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36781,5.16,81,21,79,19,17,19,88910,29,43,83501,60,15,2
2026-03-06T14:24:51.541291+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36776,5.14,81,21,79,19,17,19,88907,29,43,83509,60,15,2
2026-03-06T14:24:52.443349+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36776,5.13,81,21,79,19,17,19,88907,29,43,83509,60,15,2
2026-03-06T14:24:55.490383+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36776,5.08,81,21,79,19,17,19,92857,80029,80043,83766,59,13,2
2026-03-06T14:24:56.492114+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36849,5.06,81,21,79,19,17,19,92877,80029,80043,83616,59,13,2
2026-03-06T14:24:57.483639+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36849,5.04,81,21,79,19,17,19,92877,80029,80043,83616,59,13,2
2026-03-06T14:25:00.595051+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36801,4.99,86,17,83,14,17,19,92871,29,43,3973,59,13,3
2026-03-06T14:25:01.541430+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36801,4.98,86,17,83,14,17,19,92869,29,43,3875,59,11,3
2026-03-06T14:25:02.653136+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36801,4.96,86,17,83,14,17,19,92869,29,43,3918,59,11,3
2026-03-06T14:25:03.528477+00:00,KXXRP15M-26MAR060930-30,1.3648,1.36801,4.94,86,17,83,14,17,19,92898,29,43,3684,59,11,3
2026-03-06T14:25:06.578889+00:00,KXXRP15M-26MAR060930-30,1.3648,1.3685,4.89,86,17,83,14,17,19,92958,29,43,3889,60,11,3
2026-03-06T14:25:07.636713+00:00,KXXRP15M-26MAR060930-30,1.3648,1.3685,4.87,86,17,83,14,17,19,92948,29,43,2782,60,11,3
