timestamp,ticker,strike_price,result,final_yes_price,final_no_price
2026-03-06T16:31:53.865395+00:00,KXBTC15M-26MAR061130-30,68385.2,yes,100,1
2026-03-06T16:47:02.512448+00:00,KXBTC15M-26MAR061145-45,68547.99,yes,100,1
2026-03-06T17:01:41.457623+00:00,KXBTC15M-26MAR061200-00,68576.41,no,1,100
2026-03-06T17:16:33.611971+00:00,KXBTC15M-26MAR061215-15,68452.52,no,100,100
2026-03-06T17:31:22.771590+00:00,KXBTC15M-26MAR061230-30,68434.91,no,100,100
2026-03-06T17:52:19.298450+00:00,KXBTC15M-26MAR061245-45,68259.07,no,100,100
2026-03-06T18:01:45.789955+00:00,KXBTC15M-26MAR061300-00,0,yes,100,100
2026-03-06T18:16:40.176874+00:00,KXBTC15M-26MAR061315-15,67967.84,yes,100,100
2026-03-06T18:31:33.694800+00:00,KXBTC15M-26MAR061330-30,68317.95,no,100,100
2026-03-06T18:46:49.149898+00:00,KXBTC15M-26MAR061345-45,68278.91,yes,100,1
2026-03-06T19:01:24.689665+00:00,KXBTC15M-26MAR061400-00,68428.36,no,100,100
2026-03-06T19:16:45.282648+00:00,KXBTC15M-26MAR061415-15,68183.92,yes,100,100
2026-03-06T19:31:29.923296+00:00,KXBTC15M-26MAR061430-30,68409.85,no,100,100
2026-03-06T19:46:48.842502+00:00,KXBTC15M-26MAR061445-45,68186.09,no,100,100
2026-03-06T20:01:32.547128+00:00,KXBTC15M-26MAR061500-00,68171.55,no,1,100
2026-03-06T20:16:31.212948+00:00,KXBTC15M-26MAR061515-15,68125.6,no,100,100
2026-03-06T20:31:42.945396+00:00,KXBTC15M-26MAR061530-30,68013.95,no,100,100
