timestamp,ticker,strike_price,crypto_price,mins_left,yes_ask,no_ask,yes_bid,no_bid,yes_depth_1,yes_depth_3,yes_depth_all,no_depth_1,no_depth_3,no_depth_all,yes_levels,no_levels,spread
2026-03-06T11:14:31.231131+00:00,KXBTC15M-26MAR060615-15,70551.1,70553.6,0.48,65,37,63,35,825,825,92911,932,1344,85221,23,14,2
2026-03-06T11:14:32.252607+00:00,KXBTC15M-26MAR060615-15,70551.1,70553.6,0.46,65,37,63,35,825,825,92233,932,1344,82715,23,14,2
2026-03-06T11:14:33.228644+00:00,KXBTC15M-26MAR060615-15,70551.1,70553.6,0.45,65,37,63,35,825,825,92914,932,1130,85019,22,14,2
2026-03-06T11:14:34.255648+00:00,KXBTC15M-26MAR060615-15,70551.1,70556.9,0.43,65,37,63,35,825,825,92874,932,1130,85068,22,12,2
2026-03-06T11:14:39.420168+00:00,KXBTC15M-26MAR060615-15,70551.1,70556.9,0.34,78,26,74,22,1029,1829,83554,932,1130,85255,19,14,4
2026-03-06T11:14:40.408809+00:00,KXBTC15M-26MAR060615-15,70551.1,70556.9,0.33,78,26,74,22,825,825,92801,932,1330,83682,21,11,4
2026-03-06T11:14:41.504989+00:00,KXBTC15M-26MAR060615-15,70551.1,70556.9,0.31,78,26,74,22,824,824,93328,1732,83740,85144,21,9,4
2026-03-06T11:14:42.454829+00:00,KXBTC15M-26MAR060615-15,70551.1,70551.7,0.29,78,26,74,22,824,824,93275,82532,84283,85191,23,8,4
2026-03-06T11:14:43.410333+00:00,KXBTC15M-26MAR060615-15,70551.1,70551.7,0.28,78,26,74,22,823,823,91422,1732,3143,3873,22,7,4
2026-03-06T11:14:44.439238+00:00,KXBTC15M-26MAR060615-15,70551.1,70551.7,0.26,78,26,74,22,823,823,107515,2962,3421,4150,25,7,4
2026-03-06T11:14:45.418576+00:00,KXBTC15M-26MAR060615-15,70551.1,70551.7,0.24,94,7,93,6,823,823,93215,2729,2827,2827,25,3,1
2026-03-06T11:14:46.505441+00:00,KXBTC15M-26MAR060615-15,70551.1,70551.7,0.23,94,7,93,6,823,823,94100,3014,3014,3014,26,2,1
2026-03-06T11:14:47.455342+00:00,KXBTC15M-26MAR060615-15,70551.1,70551.7,0.21,94,7,93,6,823,823,95345,2426,2426,2426,26,2,1
2026-03-06T11:14:48.444643+00:00,KXBTC15M-26MAR060615-15,70551.1,70551.7,0.19,94,7,93,6,823,823,93805,1172,1172,1172,31,1,1
