timestamp,ticker,strike_price,result,final_yes_price,final_no_price
2026-03-05T22:45:05.850907+00:00,KXXRP15M-26MAR051330-30,1.4026,no,100,100
2026-03-05T22:45:05.850940+00:00,KXXRP15M-26MAR051315-15,1.3999,yes,100,100
2026-03-05T22:45:05.850975+00:00,KXXRP15M-26MAR051300-00,1.4038,no,100,100
2026-03-05T22:45:05.851010+00:00,KXXRP15M-26MAR051245-45,1.4051,no,100,100
2026-03-05T22:46:39.826676+00:00,KXXRP15M-26MAR051745-45,1.4046,yes,100,100
2026-03-05T22:46:39.988263+00:00,KXXRP15M-26MAR051745-45,1.4046,yes,100,100
2026-03-05T22:46:40.032755+00:00,KXXRP15M-26MAR051745-45,1.4046,yes,100,100
2026-03-05T22:46:41.689376+00:00,KXXRP15M-26MAR051745-45,1.4046,yes,100,100
2026-03-05T23:01:24.329931+00:00,KXXRP15M-26MAR051800-00,1.4078,no,100,100
2026-03-05T23:16:31.082694+00:00,KXXRP15M-26MAR051815-15,1.4065,no,100,100
2026-03-05T23:31:46.510168+00:00,KXXRP15M-26MAR051830-30,1.4057,yes,100,100
2026-03-05T23:46:33.260857+00:00,KXXRP15M-26MAR051845-45,1.4085,no,100,100
2026-03-06T00:01:30.555246+00:00,KXXRP15M-26MAR051900-00,1.4049,no,100,100
2026-03-06T00:16:34.227826+00:00,KXXRP15M-26MAR051915-15,1.4042,yes,100,100
2026-03-06T00:31:23.880179+00:00,KXXRP15M-26MAR051930-30,1.4086,no,100,100
2026-03-06T00:46:44.868333+00:00,KXXRP15M-26MAR051945-45,1.4059,no,100,100
2026-03-06T01:01:52.042871+00:00,KXXRP15M-26MAR052000-00,1.4052,yes,100,100
2026-03-06T01:16:45.299708+00:00,KXXRP15M-26MAR052015-15,1.4052,no,100,100
2026-03-06T01:31:45.555040+00:00,KXXRP15M-26MAR052030-30,1.4038,no,100,100
2026-03-06T01:46:59.246055+00:00,KXXRP15M-26MAR052045-45,1.3994,yes,100,100
2026-03-06T02:01:50.525906+00:00,KXXRP15M-26MAR052100-00,1.4122,yes,100,100
2026-03-06T02:16:22.673137+00:00,KXXRP15M-26MAR052115-15,1.4124,yes,100,1
2026-03-06T02:31:29.602628+00:00,KXXRP15M-26MAR052130-30,1.4134,no,1,100
2026-03-06T02:46:55.151501+00:00,KXXRP15M-26MAR052145-45,1.4119,yes,100,4
2026-03-06T03:01:37.605740+00:00,KXXRP15M-26MAR052200-00,1.4126,no,1,100
2026-03-06T03:16:49.139533+00:00,KXXRP15M-26MAR052215-15,1.4102,no,1,100
2026-03-06T03:31:48.902719+00:00,KXXRP15M-26MAR052230-30,1.4046,yes,100,1
2026-03-06T03:46:29.827628+00:00,KXXRP15M-26MAR052245-45,1.4079,no,1,100
2026-03-06T04:01:32.966274+00:00,KXXRP15M-26MAR052300-00,1.4065,no,1,100
2026-03-06T04:16:50.069283+00:00,KXXRP15M-26MAR052315-15,1.4057,no,1,100
2026-03-06T04:31:33.794936+00:00,KXXRP15M-26MAR052330-30,1.4017,yes,100,1
2026-03-06T04:46:37.676981+00:00,KXXRP15M-26MAR052345-45,1.4024,no,1,100
2026-03-06T05:01:30.953628+00:00,KXXRP15M-26MAR060000-00,1.3962,yes,100,100
2026-03-06T05:16:27.727975+00:00,KXXRP15M-26MAR060015-15,1.3996,yes,100,2
2026-03-06T05:31:43.555966+00:00,KXXRP15M-26MAR060030-30,1.4001,no,100,100
2026-03-06T05:46:59.632788+00:00,KXXRP15M-26MAR060045-45,1.3972,no,1,100
2026-03-06T06:01:42.356868+00:00,KXXRP15M-26MAR060100-00,1.3942,yes,100,100
2026-03-06T06:16:35.481678+00:00,KXXRP15M-26MAR060115-15,1.399,no,1,100
2026-03-06T06:31:27.390881+00:00,KXXRP15M-26MAR060130-30,1.3981,yes,100,100
2026-03-06T06:46:21.936348+00:00,KXXRP15M-26MAR060145-45,1.3994,yes,100,100
2026-03-06T07:01:42.735254+00:00,KXXRP15M-26MAR060200-00,1.4012,no,100,100
2026-03-06T07:16:47.124089+00:00,KXXRP15M-26MAR060215-15,1.4011,no,1,100
2026-03-06T07:31:53.712384+00:00,KXXRP15M-26MAR060230-30,1.3993,yes,100,100
