timestamp,ticker,strike_price,crypto_price,mins_left,yes_ask,no_ask,yes_bid,no_bid,yes_depth_1,yes_depth_3,yes_depth_all,no_depth_1,no_depth_3,no_depth_all,yes_levels,no_levels,spread
2026-03-06T04:27:03.516056+00:00,KXETH15M-26MAR052330-30,2079.06,2077.96,2.94,21,81,19,79,118,120,92151,404,406,92961,17,45,2
2026-03-06T04:27:04.425965+00:00,KXETH15M-26MAR052330-30,2079.06,2077.96,2.93,21,81,19,79,118,120,91278,404,406,91806,19,42,2
2026-03-06T04:27:07.548503+00:00,KXETH15M-26MAR052330-30,2079.06,2077.96,2.88,21,81,19,79,118,120,92160,46819,46821,139450,19,43,2
2026-03-06T04:27:08.533604+00:00,KXETH15M-26MAR052330-30,2079.06,2077.96,2.86,22,81,19,78,118,120,91027,46819,46821,138438,18,42,3
2026-03-06T04:27:09.504835+00:00,KXETH15M-26MAR052330-30,2079.06,2077.58,2.84,22,81,19,78,118,120,92190,19611,27613,120230,20,42,3
2026-03-06T04:27:10.512819+00:00,KXETH15M-26MAR052330-30,2079.06,2077.58,2.83,22,81,19,78,118,120,92293,19611,27613,120170,20,42,3
2026-03-06T04:27:11.521837+00:00,KXETH15M-26MAR052330-30,2079.06,2077.58,2.81,22,81,19,78,118,120,92222,19611,27613,120324,19,44,3
2026-03-06T04:27:12.499434+00:00,KXETH15M-26MAR052330-30,2079.06,2077.58,2.79,22,81,19,78,118,120,92294,19611,27613,120198,19,44,3
2026-03-06T04:27:13.502413+00:00,KXETH15M-26MAR052330-30,2079.06,2077.58,2.78,22,81,19,78,80118,80270,80948,19611,31613,114172,15,40,3
2026-03-06T04:27:14.501352+00:00,KXETH15M-26MAR052330-30,2079.06,2077.58,2.76,22,81,19,78,80119,80386,83269,19611,31613,115388,14,41,3
2026-03-06T04:27:17.616615+00:00,KXETH15M-26MAR052330-30,2079.06,2077.58,2.71,22,81,19,78,268,1329,3471,404,406,83777,12,40,3
2026-03-06T04:27:18.560291+00:00,KXETH15M-26MAR052330-30,2079.06,2077.58,2.69,13,88,12,87,268,1329,3468,404,406,92836,12,41,1
2026-03-06T04:27:23.689491+00:00,KXETH15M-26MAR052330-30,2079.06,2077.58,2.61,13,88,12,87,318,1371,3499,404,406,93046,11,43,1
2026-03-06T04:27:24.705937+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.59,13,88,12,87,318,671,2475,404,406,92101,10,41,1
2026-03-06T04:27:25.667375+00:00,KXETH15M-26MAR052330-30,2079.06,2076.83,2.57,13,88,12,87,268,671,3475,404,406,89096,10,42,1
